Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"Coffee Island GK II","DELIVERY","Swiggy","335","Regular - Milk -120g Default","Choice of Milk","ADDON",0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","142","Ethiopia Single Estate @75","Choice of Beans","ADDON",75.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","152","Skimmed Milk @50","Choice of Milk","ADDON",50.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","138","Master Blend @0","Choice of Beans","ADDON",0.00,0.00,24.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","167","Salted Caramel Syrup @50","Choice of Syrup","ADDON",50.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","140","Ethiopia Blend @35","Choice of Beans","ADDON",35.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","333","Regular - Milk -100g Default","Choice of Milk","ADDON",0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","146","Ethiopia Single Estate 15g@0","Choice of Beans","ADDON",0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","141","Kenya Single Estate @75","Choice of Beans","ADDON",75.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","165","Irish Syrup @50","Choice of Syrup","ADDON",50.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","137","Volcano Blend@0","Choice of Beans","ADDON",0.00,0.00,35.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","337","Regular - Milk -140g Default","Choice of Milk","ADDON",0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","150","Almond Milk @50","Choice of Milk","ADDON",50.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","415","Regular - Milk -60g Default","Choice of Milk","ADDON",0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","239","Extra Shot - Master Blend","Choice of Extra Shot - 50","Cold Beverages",50.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","151","Oat Milk @50","Choice of Milk","ADDON",50.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","139","Kenya Blend @35","Choice of Beans","ADDON",35.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","336","Regular - Milk -130g Default","Choice of Milk","ADDON",0.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","338","Regular - Milk -150g Default","Choice of Milk","ADDON",0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy","166","Hazelnut Syrup @50","Choice of Syrup","ADDON",50.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"Coffee Island GK II","DELIVERY","Swiggy-Bolt Urgent","99","Americano","Hot Brews","Hot Beverages",296.67,3.00,0.00,3.00,890.00,357.10,532.90,26.65,559.55,0.11,
"Coffee Island GK II","DELIVERY","Swiggy-Bolt Urgent","2","Iced Latte Signature","Cold Brews","Cold Beverages",310.00,1.00,0.00,1.00,310.00,155.00,155.00,7.75,162.75,0.03,
"Coffee Island GK II","DELIVERY","Swiggy-Bolt Urgent","49","Freddo Cappuccino","Island Special-Cold","Cold Beverages",370.00,1.00,0.00,1.00,370.00,100.00,270.00,13.50,283.50,0.06,
