Outlet Name,Tab,Source,Item Code,Item Name,Category Name,Super Category Name,Rate,Item Qty,Constituent Qty,Total Qty,Amount,Discount,Net Amount,Total Tax,Gross Amount,% Contribution,
"MSFT Hyd","TAKEAWAY","POS","100","Americano-Med","Hot Brews","Hot Beverages",152.38,38.00,0.00,38.00,5790.44,0.00,5790.44,289.56,6080.00,1.09,
"MSFT Hyd","TAKEAWAY","POS","29","Classic Iced Chocolate-Lrg","Iced Chocolate","Cold Beverages",180.95,6.00,0.00,6.00,1085.70,0.00,1085.70,54.30,1140.00,0.21,
"MSFT Hyd","TAKEAWAY","POS","178","Roasted Tomato Basil Bocconcini Pide","Pizza","Main Course",240.95,8.00,0.00,8.00,1927.60,0.00,1927.60,96.40,2024.00,0.36,
"MSFT Hyd","TAKEAWAY","POS","86","Island Pour Over","Alternative Brews","Hot Beverages",200.00,7.00,0.00,7.00,1400.00,0.00,1400.00,70.00,1470.00,0.26,
"MSFT Hyd","TAKEAWAY","POS","337","Regular - Milk -140g Default","Choice of Milk","ADDON",0.00,62.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","49","Freddo Cappuccino-Med","Island Special-Cold","Cold Beverages",161.90,6.00,0.00,6.00,971.40,0.00,971.40,48.60,1020.00,0.18,
"MSFT Hyd","TAKEAWAY","POS","161","Salted Caramel Crema @50","Choice of Crema","ADDON",50.00,5.00,0.00,5.00,250.00,0.00,250.00,12.50,262.50,0.05,
"MSFT Hyd","TAKEAWAY","POS","60","Overnite Espresso Gingerale Brew","Overnight Brew","Cold Beverages",209.52,6.00,0.00,6.00,1257.12,0.00,1257.12,0.00,1257.12,0.24,
"MSFT Hyd","TAKEAWAY","POS","135","Mocha Espressione Hot-reg","Island Special-Hot","Hot Beverages",180.95,74.00,0.00,74.00,13390.30,0.00,13390.30,669.70,14060.00,2.53,
"MSFT Hyd","TAKEAWAY","POS","115","Signature Belgian Dark Hot Chocolate-reg","Hot Chocolate","Hot Beverages",161.90,29.00,0.00,29.00,4695.10,0.00,4695.10,234.90,4930.00,0.89,
"MSFT Hyd","TAKEAWAY","POS","67","Bobastic Raw Mango Refresh Tea-Med","Refresh","Cold Beverages",180.95,7.00,0.00,7.00,1266.65,0.00,1266.65,63.35,1330.00,0.24,
"MSFT Hyd","TAKEAWAY","POS","352","Master Blend 15g@ Default","Choice of Beans","ADDON",0.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,
"MSFT Hyd","TAKEAWAY","POS","6","Bobastic Coffeeccino-Med","Cold Brews","Cold Beverages",180.95,88.00,0.00,88.00,15923.60,0.00,15923.60,796.40,16720.00,3.01,
