Deployment Name,Coffee Island Phoenix Market City - Mumbai
Start Date,01-10-2025
End Date,31-10-2025
Report Generation Date&Time,31/12/2025, 01:11:41 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000027,,Disposable - Sleeve For Wrap,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.03,-,4.03,500,362.7,2015,2377.7,-,11-10-2025,500,362.7,2015.0000000000002,2377.7,-,167,16-10-2025,500,362.7,2015,2377.7,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000026,,Disposable - Square Box,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.3,-,7.3,400,350.4,2919.98,3270.38,-,11-10-2025,400,350.4,2919.9827419927924,3270.38,-,167,16-10-2025,400,350.4,2919.98,3270.38,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000023,,Disposable - Stirrer,CT_27,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,0.11,-,0.11,2000,39.6,220,259.6,-,11-10-2025,2000,39.6,220,259.6,-,167,16-10-2025,2000,39.6,220,259.6,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000020,,Disposable - Straw - 08Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.63,-,0.63,2500,281.31,1562.83,1844.14,-,11-10-2025,2500,281.31,1562.8319212802614,1844.14,-,167,16-10-2025,2500,281.31,1562.83,1844.14,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000021,,Disposable - Straw - 12Mm,CT_26,DISPOSABLE PACKAGING - BEVERAGES - STRAW,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.65,-,1.65,200,59.4,330,389.4,-,11-10-2025,200,59.4,330,389.4,-,167,16-10-2025,200,59.4,330,389.4,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,300,21.06,117,138.06,-,11-10-2025,300,21.06,117,138.06,-,167,16-10-2025,300,21.06,117,138.06,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000002,,Disposable - Wooden Fork,CT_19,DISPOSABLE CUTLERY - WOODEN FORK,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,11-10-2025,1000,78,649.9999999999999,728,-,167,16-10-2025,1000,78,650,728,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000004,,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,11-10-2025,1000,78,649.9999999999999,728,-,167,16-10-2025,1000,78,650,728,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000024,,Food Wrapping Paper - Ci,CT_28,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,1000,132,1100,1232,-,11-10-2025,1000,132,1100,1232,-,167,16-10-2025,1000,132,1100,1232,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,RAW0000035,,Iced Tea Powder - Green Apple,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,378,-,378,2,136.08,756,892.08,-,11-10-2025,2,136.08,756,892.08,-,167,16-10-2025,2,136.08,756,892.08,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,RAW0000145,,J1 Matcha Powder,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,PCS(20GM),126.61,-,126.61,25,158.26,3165.28,3323.54,-,11-10-2025,25,158.26,3165.279411764706,3323.54,-,167,16-10-2025,25,158.26,3165.28,3323.54,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000031,,Kitchen Roll 1 Kg,CT_30,DISPOSABLE PACKAGING - KITCHEN ROLL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,115,-,115,12,248.4,1380,1628.4,-,11-10-2025,12,248.4,1380,1628.4,-,167,16-10-2025,12,248.4,1380,1628.4,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,PKG0000030,,Lid For 1000 Ml Container,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.75,-,2.75,850,420.75,2337.5,2758.25,-,11-10-2025,850,420.75,2337.5,2758.25,-,167,16-10-2025,850,420.75,2337.5,2758.25,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,CNC0000024,,Mexicana Coupe Glass,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,177.17,-,177.17,12,382.69,2126.04,2508.73,-,11-10-2025,12,382.69,2126.04,2508.73,-,167,16-10-2025,12,382.69,2126.04,2508.73,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,RAW0000028,,Milkshake Powder - Chocolate,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,486,-,486,5,437.4,2430,2867.4,-,11-10-2025,5,437.4,2430,2867.4,-,167,16-10-2025,5,437.4,2430,2867.4,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Phoenix Market City - Mumbai,-,11-10-2025,13-10-2025,IN2,Received,RAW0000029,,Milkshake Powder - Strawberry,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,400,-,400,5,100,2000,2100,-,11-10-2025,5,100,2000,2100,-,167,16-10-2025,5,100,2000,2100,-,No,-,-,0,0.00,0,0,0,0,Received,
