Deployment Name,Coffee Island HQ-27
Start Date,01-12-2025
End Date,30-12-2025
Report Generation Date&Time,31/12/2025, 01:06:31 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Coffee Island AIPL,Coffee Island HQ-27,-,10-12-2025,-,DD28,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.21,-,3.21,0,-,0,0,-,10-12-2025,100,57.85,321.3936374656081,379.24,-,29,10-12-2025,100,57.85,321.39,379.24,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,11-12-2025,-,DD29,Received,RAW0000102,,Belgian Chocolate Fudge Brownie,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,48.82,-,48.82,0,-,0,0,-,11-12-2025,2,17.57,97.63813953488372,115.21,-,30,11-12-2025,2,17.57,97.64,115.21,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,11-12-2025,-,DD29,Received,RAW0000086,,Garlic Mushroom & Caramelized Onion Melt,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,97.33,-,97.33,0,-,0,0,-,11-12-2025,2,35.04,194.6507364532388,229.69,-,30,11-12-2025,2,35.04,194.65,229.69,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,11-12-2025,-,DD29,Received,RAW0000088,,Nolen Gur Banoffee Jar,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,66.72,-,66.72,0,-,0,0,-,11-12-2025,1,12.01,66.72037037037038,78.73,-,30,11-12-2025,1,12.01,66.72,78.73,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,11-12-2025,-,DD29,Received,RAW0000104,,Rocky Road & Pecan Muffin,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,89.56,-,89.56,0,-,0,0,-,11-12-2025,1,16.12,89.56067961165049,105.68,-,30,11-12-2025,1,16.12,89.56,105.68,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,11-12-2025,-,DD29,Received,RAW0000098,,Sea Salt Caramel Brookie,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,57.22,-,57.22,0,-,0,0,-,11-12-2025,1,10.3,57.22493975903615,67.52,-,30,11-12-2025,1,10.3,57.22,67.52,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,11-12-2025,-,DD29,Received,RAW0000095,,Smoked Cottage Cheese Wrap,CT_55,RM FOOD - VEG INGREDIENTS,-,RAW MATERIAL,PCS,100.43,-,100.43,0,-,0,0,-,11-12-2025,2,36.16,200.8631648971155,237.02,-,30,11-12-2025,2,36.16,200.86,237.02,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,798.33,-,798.33,5,199.58,3991.65,4191.23,-,16-12-2025,0,-,0,0,-,,16-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,RAW0000002,,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,10,406.2,8124,8530.2,-,16-12-2025,5,203.1,4062,4265.1,-,250,16-12-2025,5,203.1,4062,4265.1,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,RAW0000025,,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,2,78.5,1570,1648.5,-,16-12-2025,2,78.5,1570,1648.5,-,250,16-12-2025,2,78.5,1570,1648.5,-,No,-,-,0,0.00,0,0,0,0,Received,
