Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000018,Coffee Mug - Classic - Innocent - Light Pink,MUGS/CUPS,RETAIL,113.16,01-04-2025,0,PCS,0,10,1131.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1131.62,10,1131.62,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000020,Cold Brew - French Vanilla,RTD COLD BREW - BOTTLE/CAN,RETAIL,88.98,01-04-2025,0,PCS,0,10,889.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,889.8,10,889.8,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000021,Cold Brew - Cinnamon,RTD COLD BREW - BOTTLE/CAN,RETAIL,88.98,01-04-2025,0,PCS,0,24,2135.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2135.52,24,2135.52,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000024,Cold Coffee Can - Irish,RTD COLD COFFEE - BOTTLE/CAN,RETAIL,60.23,01-04-2025,0,PCS,0,29,1746.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1746.8,29,1746.8,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000042,The Ultimate Sweet Crunchy Nut Mix - 70 Gms,RTE - SNACKS,RETAIL,93.55,01-04-2025,0,PCS,0,50,4677.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4677.54,50,4677.54,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000043,Chocolate Almond - 40 Gms,RTE - SNACKS,RETAIL,59.81,01-04-2025,0,PCS,0,31,1853.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1853.96,31,1853.96,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000044,Chocolate Cashew - 40 Gms,RTE - SNACKS,RETAIL,59.59,01-04-2025,0,PCS,0,24,1430.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1430.18,24,1430.18,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000046,Coffee Almond Shots - 40 Gms,RTE - SNACKS,RETAIL,47.54,01-04-2025,0,PCS,0,21,998.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,998.38,21,998.38,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000047,Masala Almond - 40 Gms,RTE - SNACKS,RETAIL,61.7,01-04-2025,0,PCS,0,50,3084.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3084.77,50,3084.77,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000048,Masala Cashew - 40 Gms,RTE - SNACKS,RETAIL,61.7,01-04-2025,0,PCS,0,50,3084.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3084.77,50,3084.77,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000050,Sipper - Glass With Grey Sleeve,SIPPERS/BOTTLES,RETAIL,275,01-04-2025,0,PCS,0,10,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2750,10,2750,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000051,Sipper - Biggest White With Steel Rim,SIPPERS/BOTTLES,RETAIL,400,01-04-2025,0,PCS,0,15,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6000,15,6000,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000052,Sipper - Cylindrical Long White,SIPPERS/BOTTLES,RETAIL,335,01-04-2025,0,PCS,0,13,4355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4355,13,4355,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000054,Water Bottle - Ebony - Black,SIPPERS/BOTTLES,RETAIL,550,01-04-2025,0,PCS,0,15,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8250,15,8250,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000055,Sipper Glass - 350 Ml - Celeste -Light Green,SIPPERS/BOTTLES,RETAIL,82.48,01-04-2025,0,PCS,0,10,824.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,824.82,10,824.82,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000056,Sipper Glass - 350 Ml - Coffee,SIPPERS/BOTTLES,RETAIL,82.48,01-04-2025,0,PCS,0,10,824.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,824.82,10,824.82,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island AIPL,Coffee Island AIPL Main Store,RET0000057,Sr Sipper Glass - 350 Ml - Innocent - Light Pink,SIPPERS/BOTTLES,RETAIL,82.48,01-04-2025,0,PCS,0,10,824.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,824.82,10,824.82,0,0,0,0,0,0,30-06-2025,0,0,NA,NA,0,0,0,0,0,0,
