Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt,Physical Adjusted Closing Qty ,Amt
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000115,Spaghetti/Pasta Tong,SMALLWARE,CAPEX,88.5,01-07-2025,0,PCS..,0,1,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.5,1,88.5,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000118,Seasoning Shaker Big Hole 10 Oz,SMALLWARE,CAPEX,112,01-07-2025,0,PCS..,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112,1,112,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000119,Seasoning Shaker Small Hole (Mesh),SMALLWARE,CAPEX,134.4,01-07-2025,0,PCS..,0,1,134.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134.4,1,134.4,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000120,Scissors - Multipurpose,SMALLWARE,CAPEX,141.6,01-07-2025,0,PCS..,0,2,283.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,283.2,2,283.2,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000116,Spatula - Green (Small),SMALLWARE,CAPEX,295,01-07-2025,0,PCS..,0,1,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,295,1,295,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000121,Ice Cream Scoop (2 Oz),SMALLWARE,CAPEX,123.2,01-07-2025,0,PCS..,0,1,123.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123.2,1,123.2,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000233,Kot Spike,BOH DEAD FABRICATION EQUIPMENT,CAPEX,67.2,01-07-2025,0,PCS..,0,1,67.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.2,1,67.2,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000232,Kot Rail/Holder,BOH DEAD FABRICATION EQUIPMENT,CAPEX,364,01-07-2025,0,PCS..,0,2,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,728,2,728,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000192,Squeeze Bottle (Fifo) (16 Oz),SMALLWARE,CAPEX,100.3,01-07-2025,0,PCS..,0,2,200.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200.6,2,200.6,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
Coffee Island - Amanora Mall,Coffee Island - Amanora Mall - Main Store,CAP0000193,Squeeze Bottle (Nozzle),SMALLWARE,CAPEX,53.1,01-07-2025,0,PCS..,0,2,106.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,106.2,2,106.2,0,0,0,0,0,0,30-09-2025,0,0,NA,NA,0,0,0,0,0,0,
