Warehouse,Store/Kitchen Name ,User Name ,Vendor Name ,Date,Transaction Number ,Invoice Number ,Batch Number ,PR Number ,PO Number ,Invoice Date , Item Code ,Item Name ,Category Name ,Super Category Name ,Comment ,Quantity ,Unit ,MRP ,Unit Price ,Charges Name ,Amount ,Discount ,GST/IGST Rate ,GST/IGST Value ,CESS Rate ,CESS Value ,Other Taxes Rate ,Other Taxes Value ,Total Tax , Item Charges Amount ,Total ,Source 
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-40,25-26/74,-,-,PO-34,26-07-2025,PKG0000025,Disposable - Rectangular Box,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,-,20300,PCS,0,6.45,-,130935,0,12,15712.2,-,-,-,-,15712.2,0,146647.2,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-40,25-26/74,-,-,PO-34,26-07-2025,PKG0000027,Disposable - Sleeve For Wrap,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,-,10400,PCS,0,4.03,-,41912,0,18,7544.16,-,-,-,-,7544.16,0,49456.16,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-40,25-26/74,-,-,PO-34,26-07-2025,PKG0000026,Disposable - Square Box,DISPOSABLE PACKAGING - FOOD - FOOD BOX,DISPOSABLE TAKE AWAY PACKAGING,-,19700,PCS,0,7.3,-,143810,0,12,17257.2,-,-,-,-,17257.2,0,161067.2,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-40,25-26/74,-,-,PO-34,26-07-2025,-,-,-,-,-,-,-,0,0,Fright Charges,2600,0,-,-,-,-,-,-,468,0,3068,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-39,25-26/75,-,-,PO-45,26-07-2025,PKG0000035,Coffee Island Coin Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,9983,PCS..,0,1.27,-,12678.41,0,18,2282.11,-,-,-,-,2282.11,0,14960.52,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-39,25-26/75,-,-,PO-45,26-07-2025,PKG0000034,Coffee Island Bag Sealing Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,15216,PCS,0,1.05,-,15976.8,0,18,2875.82,-,-,-,-,2875.82,0,18852.62,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-39,25-26/75,-,-,PO-45,26-07-2025,PKG0000036,Coffee Island MRD Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,9120,PCS..,0,0.44,-,4012.8,0,18,722.3,-,-,-,-,722.3,0,4735.1,
Warehouse NCR,Central Store,Ashutosh Kumar,Printpack Innovations Private Limited,28-07-2025,SE-39,25-26/75,-,-,PO-45,26-07-2025,PKG0000037,Coffee Island Milk Variant Sticker,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,DISPOSABLE TAKE AWAY PACKAGING,-,6048,PCS..,0,0.75,-,4536,0,18,816.48,-,-,-,-,816.48,0,5352.48,
Warehouse NCR,Central Store,Ashutosh Kumar,Anurag Enterprises,28-07-2025,SE-38,372,-,-,PO-40,28-07-2025,UNI0000005,Team Member Ci Cap - Blue,UNIFORM - CAP/HEAD GEARS,UNIFORM,-,104,PCS..,0,200,-,20800,0,5,1040,-,-,-,-,1040,0,21840,
Warehouse NCR,Central Store,Ashutosh Kumar,Anurag Enterprises,28-07-2025,SE-38,372,-,-,PO-40,28-07-2025,-,-,-,-,-,-,-,0,0,Fright Charges,360,0,-,-,-,-,-,-,18,0,378,
