Deployment Name,Warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,30-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Generation Date&Time,23-12-2025, 05:34:26 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status 
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,PKG0000004,,Disposable - Wooden Spoon,CT_20,DISPOSABLE CUTLERY - WOODEN SPOON,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.65,-,0.65,1000,78,650,728,-,02-09-2025,1000,78,650,728,-,110,11-09-2025,1000,78,650,728,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,PKG0000024,,Food Wrapping Paper - Ci,CT_28,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,1000,132,1100,1232,-,02-09-2025,1000,132,1100,1232,-,110,11-09-2025,1000,132,1100,1232,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,PKG0000031,,Kitchen Roll 1 Kg,CT_30,DISPOSABLE PACKAGING - KITCHEN ROLL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,115,-,115,12,248.4,1380,1628.4,-,02-09-2025,12,248.4,1380,1628.4,-,110,11-09-2025,12,248.4,1380,1628.4,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,PKG0000030,,Lid For 1000 Ml Container,CT_29,DISPOSABLE PACKAGING - FOOD - FOOD BOX,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.75,-,2.75,700,346.5,1925,2271.5,-,02-09-2025,700,346.5,1925,2271.5,-,110,11-09-2025,700,346.5,1925,2271.5,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000028,,Milkshake Powder - Chocolate,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,486,-,486,5,437.4,2430,2867.4,-,02-09-2025,5,437.4,2430,2867.4,-,110,11-09-2025,5,437.4,2430,2867.4,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000029,,Milkshake Powder - Strawberry,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,400,-,400,5,360,2000,2360,-,02-09-2025,5,360,2000,2360,-,110,11-09-2025,5,360,2000,2360,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,CNC0000005,,Pasta Bowl,CT_15,CROCKERY,-,CROCKERY & CUTLERY,PCS..,325,-,325,18,702,5850,6552,-,02-09-2025,11,429,3575,4004,-,110,11-09-2025,11,429,3575,4004,Damage in transit,No,0,0,0,0,7,2275,Suspicious Resolved By Supplier
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,PKG0000015,,Plastic Transparent Bowl,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.41,-,7.41,480,640.22,3556.8,4197.02,-,02-09-2025,480,640.22,3556.8,4197.02,-,110,11-09-2025,480,640.22,3556.8,4197.02,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000024,,Protein Powder - Cookie & Cream,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,1450,-,1450,3,783,4350,5133,-,02-09-2025,3,783,4350,5133,-,110,11-09-2025,3,783,4350,5133,-,No,0,0,0,0,0,0,Received
Warehouse NCR,Coffee Island - Amanora Mall,-,02-09-2025,06-09-2025,IN3,Received,RAW0000023,,Protein Powder - Espresso,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,1450,-,1450,3,783,4350,5133,-,02-09-2025,3,783,4350,5133,-,110,11-09-2025,3,783,4350,5133,-,No,0,0,0,0,0,0,Received
