Deployment Name,Warehouse NCR
Start Date,01-12-2025
End Date,31-12-2025
Report Generation Date&Time,05/01/2026, 01:09:59 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,PKG0000001,,Disposable - Cutlery Sleeve,CT_18,DISPOSABLE CUTLERY - CUTLERY POUCH,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,600,118.8,660,778.8,-,24-12-2025,600,118.8,659.9999999999999,778.8,-,264,25-12-2025,600,118.8,660,778.8,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,500,278.1,1545,1823.1,-,24-12-2025,0,-,0,0,-,,25-12-2025,0,-,0,0,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,300,120.15,667.5,787.65,-,24-12-2025,300,120.15,667.5011249437529,787.65,-,264,25-12-2025,300,120.15,667.5,787.65,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,PKG0000032,,Disposable - Tissue Paper,CT_31,DISPOSABLE PACKAGING - TISSUE PAPER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,0.39,-,0.39,3500,245.7,1365,1610.7,-,24-12-2025,3500,245.7,1365,1610.7,-,264,25-12-2025,3500,245.7,1365,1610.7,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,PKG0000024,,Food Wrapping Paper - Ci,CT_28,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.1,-,1.1,1000,198,1100,1298,-,24-12-2025,1000,198,1100,1298,-,264,25-12-2025,1000,198,1100,1298,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,PKG0000007,,Yellow Carry Bag Medium - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,8.61,-,8.61,500,774.9,4305,5079.9,-,24-12-2025,500,774.9,4305,5079.9,-,264,25-12-2025,500,774.9,4305,5079.9,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,-,23-12-2025,24-12-2025,IN61,Received,PKG0000006,,Yellow Carry Bag Small - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.5,-,7.5,200,270,1500,1770,-,24-12-2025,100,135,750,885,-,264,25-12-2025,100,135,750,885,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Warehouse Mumbai,-,23-12-2025,25-12-2025,IN3,Received,RET0000024,,Cold Coffee Can - Irish,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,PCS,55,-,55,36,237.6,1980,2217.6,-,23-12-2025,36,237.6,1980,2217.6,-,263,30-12-2025,36,237.6,1980,2217.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Warehouse Mumbai,-,23-12-2025,25-12-2025,IN3,Received,RET0000023,,Cold Coffee Can - Vietnamese,CT_64,RTD COLD COFFEE - BOTTLE/CAN,-,RETAIL,PCS,55,-,55,60,396,3300,3696,-,23-12-2025,60,396,3300,3696,-,263,30-12-2025,60,396,3300,3696,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Warehouse Mumbai,-,23-12-2025,25-12-2025,IN3,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.8,-,1.8,1500,486.01,2700.03,3186.04,-,23-12-2025,1500,486.01,2700.032141326604,3186.04,-,263,30-12-2025,1500,486.01,2700.03,3186.04,-,No,0,0.00,0,0,0,0,Received,
