Deployment Name,Warehouse NCR
Start Date,01-02-2026
End Date,15-02-2026
Report Generation Date&Time,17/02/2026, 04:59:42 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,RAW0000023,,Protein Powder - Espresso,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,1450,-,1450,1,261,1450,1711,-,06-02-2026,1,261,1450,1711,-,318,06-02-2026,1,261,1450,1711,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,04-02-2026,06-02-2026,IN73,Received,RAW0000170,,Strawberry Syrup 750 Ml,CT_49,RM BEVERAGES - SYRUP/SAUCE,-,RAW MATERIAL,BTL(750ML/983GM),407.55,-,407.55,2,40.76,815.1,855.86,-,06-02-2026,2,40.76,815.1,855.86,-,318,06-02-2026,2,40.76,815.1,855.86,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island Beyond GK II,Coffee Island GK Main  Store,05-02-2026,06-02-2026,IN74,Received,CNC0000035,70131000,CI Boba Beverage Glassware 360ML,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,52,-,52,24,224.64,1248,1472.64,-,06-02-2026,24,224.64,1248,1472.64,-,317,06-02-2026,24,224.64,1248,1472.64,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,Coffee Island - Microsoft Campus Main Store,05-02-2026,16-02-2026,IN28,Suspicious,RAW0000001,,Beans - Master Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,768.33,-,768.33,10,384.17,7683.3,8067.47,-,10-02-2026,10,384.17,7683.300000000001,8067.47,-,323,15-02-2026,10,384.17,7683.3,8067.47,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,Coffee Island - Microsoft Campus Main Store,05-02-2026,16-02-2026,IN28,Suspicious,RAW0000002,09011111,Beans - Volcano Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,KG,812.4,-,812.4,30,1218.6,24372,25590.6,-,10-02-2026,30,1218.6,24372,25590.6,-,323,15-02-2026,30,1218.6,24372,25590.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,Coffee Island - Microsoft Campus Main Store,05-02-2026,16-02-2026,IN28,Suspicious,RAW0000025,21069050,Chocolate Powder - Hot,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,KG,785,-,785,10,392.5,7850,8242.5,-,10-02-2026,10,392.5,7850,8242.5,-,323,15-02-2026,10,392.5,7850,8242.5,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,Coffee Island - Microsoft Campus Main Store,05-02-2026,16-02-2026,IN28,Suspicious,PKG0000016,39239020,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.5,-,1.5,1000,270,1500,1770,-,10-02-2026,1000,270,1500,1770,-,323,15-02-2026,750,202.5,1125,1327.5,received damage,No,250,375,0,0,0,0,Suspicious,
Warehouse NCR,MSFT Hyd,Coffee Island - Microsoft Campus Main Store,05-02-2026,16-02-2026,IN28,Suspicious,PKG0000018,39239020,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.4,-,2.4,1000,432,2400,2832,-,10-02-2026,1000,432,2400,2832,-,323,15-02-2026,1000,432,2400,2832,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,Coffee Island - Microsoft Campus Main Store,05-02-2026,16-02-2026,IN28,Suspicious,PKG0000012,48236900,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.88,-,2.88,1500,777.6,4320,5097.6,-,10-02-2026,1500,777.6,4320,5097.6,-,323,15-02-2026,1500,777.6,4320,5097.6,-,No,0,0.00,0,0,0,0,Received,
Warehouse NCR,MSFT Hyd,Coffee Island - Microsoft Campus Main Store,05-02-2026,16-02-2026,IN28,Suspicious,PKG0000013,,Disposable - Paper Cup 12Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.65,-,4.65,1200,1004.4,5580,6584.4,-,10-02-2026,1200,1004.4,5580,6584.4,-,323,15-02-2026,1175,983.48,5463.75,6447.23,damage received,No,25,116.25,0,0,0,0,Suspicious,
