All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2026-01-12,11,"DINE IN",3850.00,0.00,3850.00,192.50,202.14,4244.64,6,
"Coffee Island Beyond GK II",2026-01-12,12,"DINE IN",690.00,0.00,690.00,34.50,36.23,760.73,1,
"Coffee Island Beyond GK II",2026-01-12,12,"DELIVERY",530.00,131.25,398.75,40.00,21.94,460.69,2,
"Coffee Island Beyond GK II",2026-01-12,13,"DINE IN",1210.00,0.00,1210.00,60.50,63.53,1334.03,2,
"Coffee Island Beyond GK II",2026-01-12,13,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2026-01-12,14,"DINE IN",350.00,0.00,350.00,17.50,18.38,385.88,1,
"Coffee Island Beyond GK II",2026-01-12,15,"DINE IN",4200.00,3200.00,1000.00,50.00,52.50,1102.50,2,
"Coffee Island Beyond GK II",2026-01-12,16,"DINE IN",640.00,0.00,640.00,32.00,33.60,705.60,1,
"Coffee Island Beyond GK II",2026-01-12,17,"DELIVERY",778.00,150.00,628.00,20.00,32.40,680.40,1,
"Coffee Island Beyond GK II",2026-01-12,17,"DINE IN",1280.00,91.00,1189.00,59.45,62.43,1310.88,3,
"Coffee Island Beyond GK II",2026-01-12,18,"DINE IN",8665.00,8278.75,386.25,0.00,19.32,405.57,3,
"Coffee Island Beyond GK II",2026-01-12,18,"DELIVERY",590.00,134.99,455.01,20.00,23.75,498.76,1,
"Coffee Island Beyond GK II",2026-01-12,19,"DELIVERY",300.00,150.00,150.00,20.00,8.50,178.50,1,
"Coffee Island Beyond GK II",2026-01-12,19,"DINE IN",5570.00,1475.50,4094.50,204.73,214.97,4514.20,3,
"Coffee Island Beyond GK II",2026-01-12,20,"DINE IN",4128.33,535.00,3593.33,179.67,188.65,3961.65,4,
"Coffee Island Beyond GK II",2026-01-12,21,"TAKEAWAY",580.00,0.00,580.00,0.00,29.00,609.00,1,
"Coffee Island Beyond GK II",2026-01-12,21,"DINE IN",2730.00,277.50,2452.50,122.63,128.77,2703.90,5,
"Coffee Island Beyond GK II",2026-01-12,22,"DINE IN",2585.00,205.00,2380.00,119.00,124.96,2623.96,2,
"Coffee Island Beyond GK II",2026-01-12,23,"DINE IN",560.00,560.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2026-01-12,23,"TAKEAWAY",590.00,62.00,528.00,0.00,26.40,554.40,1,
"Coffee Island Beyond GK II",2026-01-13,0,"DINE IN",2545.00,116.00,2429.00,121.45,127.54,2677.99,5,
"Coffee Island Beyond GK II",2026-01-13,1,"DINE IN",240.00,0.00,240.00,12.00,12.60,264.60,1,
