All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-10-15,19,"DINE IN",920.00,240.00,680.00,0.00,34.01,714.01,1,
"Coffee Island Beyond GK II",2025-10-15,20,"DINE IN",1840.00,0.00,1840.00,0.00,92.00,1932.00,2,
"Coffee Island Beyond GK II",2025-10-15,22,"DINE IN",785.00,235.50,549.50,0.00,27.48,576.98,3,
"Coffee Island Beyond GK II",2025-10-15,23,"TAKEAWAY",1655.00,0.00,1655.00,0.00,82.75,1737.75,3,
"Coffee Island Beyond GK II",2025-10-15,23,"DINE IN",440.00,44.00,396.00,0.00,19.80,415.80,1,
"Coffee Island Beyond GK II",2025-10-16,0,"TAKEAWAY",1275.00,0.00,1275.00,0.00,63.75,1338.75,3,
"Coffee Island Beyond GK II",2025-10-16,0,"DINE IN",2584.10,230.00,2354.10,0.00,117.71,2471.81,5,
"Coffee Island Beyond GK II",2025-10-16,1,"TAKEAWAY",1096.90,0.00,1096.90,0.00,54.85,1151.75,3,
"Coffee Island Beyond GK II",2025-10-16,1,"DELIVERY",910.00,200.00,710.00,30.00,37.00,777.00,1,
"Coffee Island Beyond GK II",2025-10-16,7,"DINE IN",240.00,0.00,240.00,0.00,12.00,252.00,1,
"Coffee Island Beyond GK II",2025-10-16,8,"DINE IN",2704.00,515.40,2188.60,0.00,109.44,2298.04,6,
"Coffee Island Beyond GK II",2025-10-16,9,"DELIVERY",995.00,282.50,712.50,30.00,37.13,779.63,1,
"Coffee Island Beyond GK II",2025-10-16,9,"DINE IN",3161.22,948.37,2212.85,0.00,245.40,2458.25,1,
"Coffee Island Beyond GK II",2025-10-16,10,"DELIVERY",320.00,80.00,240.00,30.00,13.50,283.50,1,
"Coffee Island Beyond GK II",2025-10-16,10,"DINE IN",580.00,174.00,406.00,0.00,20.30,426.30,1,
"Coffee Island Beyond GK II",2025-10-16,11,"DINE IN",38.10,38.10,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-10-16,12,"DELIVERY",888.47,154.99,733.48,60.00,39.68,833.16,2,
"Coffee Island Beyond GK II",2025-10-16,12,"DINE IN",404.41,73.00,331.41,0.00,16.57,347.98,1,
"Coffee Island Beyond GK II",2025-10-16,13,"DINE IN",1390.00,0.00,1390.00,0.00,69.50,1459.50,2,
"Coffee Island Beyond GK II",2025-10-16,14,"DINE IN",1221.25,10.00,1211.25,0.00,60.56,1271.81,3,
"Coffee Island Beyond GK II",2025-10-16,15,"DINE IN",11731.45,3567.40,8164.05,0.00,408.21,8572.26,2,
"Coffee Island Beyond GK II",2025-10-16,15,"TAKEAWAY",285.00,0.00,285.00,0.00,14.25,299.25,1,
"Coffee Island Beyond GK II",2025-10-16,16,"DINE IN",1040.00,270.00,770.00,0.00,38.50,808.50,4,
"Coffee Island Beyond GK II",2025-10-16,17,"DINE IN",460.00,0.00,460.00,0.00,23.00,483.00,1,
"Coffee Island Beyond GK II",2025-10-16,18,"DINE IN",2070.00,0.00,2070.00,0.00,103.50,2173.50,3,
"Coffee Island Beyond GK II",2025-10-16,19,"TAKEAWAY",1240.00,0.00,1240.00,0.00,62.00,1302.00,1,
"Coffee Island Beyond GK II",2025-10-16,20,"TAKEAWAY",560.00,0.00,560.00,0.00,28.00,588.00,1,
"Coffee Island Beyond GK II",2025-10-16,20,"DINE IN",1156.25,0.00,1156.25,0.00,57.81,1214.06,2,
"Coffee Island Beyond GK II",2025-10-16,22,"DINE IN",1470.00,0.00,1470.00,0.00,73.50,1543.50,4,
"Coffee Island Beyond GK II",2025-10-16,22,"TAKEAWAY",310.00,0.00,310.00,0.00,15.50,325.50,1,
