All the values shown here are in INR.

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
"Coffee Island Beyond GK II",2025-11-10,7,"TAKEAWAY",230.00,0.00,230.00,0.00,11.50,241.50,1,
"Coffee Island Beyond GK II",2025-11-10,7,"DELIVERY",1770.00,856.00,914.00,50.00,48.20,1012.20,2,
"Coffee Island Beyond GK II",2025-11-10,8,"DINE IN",1776.00,147.00,1629.00,0.00,81.45,1710.45,6,
"Coffee Island Beyond GK II",2025-11-10,10,"DINE IN",1006.00,0.00,1006.00,0.00,50.30,1056.30,1,
"Coffee Island Beyond GK II",2025-11-10,11,"DELIVERY",250.00,0.00,250.00,20.00,13.50,283.50,1,
"Coffee Island Beyond GK II",2025-11-10,11,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-10,11,"TAKEAWAY",1209.10,0.00,1209.10,0.00,60.46,1269.56,3,
"Coffee Island Beyond GK II",2025-11-10,12,"DINE IN",1140.00,0.00,1140.00,0.00,57.00,1197.00,2,
"Coffee Island Beyond GK II",2025-11-10,12,"DELIVERY",280.00,100.00,180.00,20.00,10.00,210.00,1,
"Coffee Island Beyond GK II",2025-11-10,13,"TAKEAWAY",3470.00,0.00,3470.00,0.00,173.50,3643.50,3,
"Coffee Island Beyond GK II",2025-11-10,14,"DELIVERY",690.00,157.49,532.51,30.00,28.13,590.64,1,
"Coffee Island Beyond GK II",2025-11-10,14,"DINE IN",1235.00,0.00,1235.00,0.00,61.75,1296.75,1,
"Coffee Island Beyond GK II",2025-11-10,15,"TAKEAWAY",245.00,0.00,245.00,0.00,12.25,257.25,1,
"Coffee Island Beyond GK II",2025-11-10,15,"DINE IN",1888.00,0.00,1888.00,0.00,94.40,1982.40,2,
"Coffee Island Beyond GK II",2025-11-10,16,"DINE IN",1422.00,0.00,1422.00,0.00,148.06,1570.06,2,
"Coffee Island Beyond GK II",2025-11-10,16,"DELIVERY",250.00,125.00,125.00,20.00,7.25,152.25,1,
"Coffee Island Beyond GK II",2025-11-10,17,"DINE IN",3339.00,2500.00,839.00,0.00,41.95,880.95,2,
"Coffee Island Beyond GK II",2025-11-10,18,"DELIVERY",1460.00,517.00,943.00,60.00,50.15,1053.15,3,
"Coffee Island Beyond GK II",2025-11-10,18,"DINE IN",240.00,0.00,240.00,0.00,12.00,252.00,1,
"Coffee Island Beyond GK II",2025-11-10,19,"DINE IN",2750.00,0.00,2750.00,0.00,137.50,2887.50,3,
"Coffee Island Beyond GK II",2025-11-10,19,"TAKEAWAY",230.00,230.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-10,20,"DINE IN",1520.00,66.00,1454.00,0.00,72.70,1526.70,3,
"Coffee Island Beyond GK II",2025-11-10,21,"DINE IN",210.00,210.00,0.00,0.00,0.00,0.00,2,
"Coffee Island Beyond GK II",2025-11-10,22,"DINE IN",839.00,0.00,839.00,0.00,41.95,880.95,2,
"Coffee Island Beyond GK II",2025-11-10,22,"TAKEAWAY",790.00,0.00,790.00,0.00,39.50,829.50,2,
"Coffee Island Beyond GK II",2025-11-10,23,"DINE IN",2248.00,520.00,1728.00,0.00,86.40,1814.40,5,
"Coffee Island Beyond GK II",2025-11-11,0,"DINE IN",510.00,0.00,510.00,0.00,25.50,535.50,1,
"Coffee Island Beyond GK II",2025-11-11,1,"DELIVERY",310.00,90.00,220.00,20.00,12.00,252.00,1,
"Coffee Island Beyond GK II",2025-11-11,1,"DINE IN",38.10,0.00,38.10,0.00,1.91,40.01,2,
"Coffee Island Beyond GK II",2025-11-11,3,"DINE IN",0.00,0.00,0.00,0.00,0.00,0.00,1,
"Coffee Island Beyond GK II",2025-11-11,6,"TAKEAWAY",460.00,0.00,460.00,0.00,23.00,483.00,1,
"Coffee Island Beyond GK II",2025-11-11,6,"DELIVERY",250.00,80.00,170.00,20.00,9.50,199.50,1,
"Coffee Island Beyond GK II",2025-11-11,7,"DELIVERY",184.75,92.37,92.38,30.00,6.12,128.50,1,
"Coffee Island Beyond GK II",2025-11-11,8,"DINE IN",1184.00,0.00,1184.00,0.00,59.20,1243.20,4,
