Generated On: 2026-02-05 01:50:00 pm
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,17,TAKEAWAY,210.00,0.00,210.00,0.00,10.50,220.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,18,DELIVERY,613.00,0.00,613.00,20.00,31.65,664.65,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,18,DINE IN,2895.00,0.00,2895.00,0.00,144.75,3039.75,5,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,18,TAKEAWAY,1330.00,54.00,1276.00,0.00,63.80,1339.80,3,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,19,DINE IN,1670.00,0.00,1670.00,0.00,83.50,1753.50,3,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,19,TAKEAWAY,615.00,0.00,615.00,0.00,30.75,645.75,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,20,TAKEAWAY,540.00,0.00,540.00,0.00,27.00,567.00,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,20,DINE IN,685.00,0.00,685.00,0.00,34.25,719.25,6,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,21,DINE IN,810.00,0.00,810.00,0.00,40.50,850.50,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,22,TAKEAWAY,330.00,0.00,330.00,0.00,16.50,346.50,1,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,22,DINE IN,1430.00,0.00,1430.00,0.00,71.50,1501.50,2,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,23,DINE IN,3020.00,0.00,3020.00,0.00,151.00,3171.00,4,
Coffee Island Eros Churchgate - Mumbai,Coffee Island Eros Churchgate - Mumbai,CAFE,2026-02-04,23,DELIVERY,820.00,302.50,517.50,0.00,25.88,543.38,1,
