Generated On: 2026-02-03 10:51:26 am
*All the values shown here are in INR,

Outlet Name,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Beyond GK II,2026-02-02,17,DINE IN,1080.00,0.00,1080.00,54.00,56.70,1190.70,2,
Coffee Island Beyond GK II,2026-02-02,17,TAKEAWAY,580.00,87.00,493.00,0.00,24.65,517.65,1,
Coffee Island Beyond GK II,2026-02-02,18,DINE IN,1200.00,70.00,1130.00,56.50,59.33,1245.83,3,
Coffee Island Beyond GK II,2026-02-02,18,TAKEAWAY,410.00,410.00,0.00,0.00,0.00,0.00,1,
Coffee Island Beyond GK II,2026-02-02,19,DELIVERY,310.00,80.00,230.00,20.00,12.50,262.50,1,
Coffee Island Beyond GK II,2026-02-02,19,TAKEAWAY,990.00,0.00,990.00,0.00,49.50,1039.50,2,
Coffee Island Beyond GK II,2026-02-02,20,TAKEAWAY,830.00,0.00,830.00,0.00,41.50,871.50,3,
Coffee Island Beyond GK II,2026-02-02,20,DINE IN,2860.00,24.00,2836.00,141.80,148.89,3126.69,4,
Coffee Island Beyond GK II,2026-02-02,21,DINE IN,1510.00,280.00,1230.00,61.50,64.58,1356.08,3,
Coffee Island Beyond GK II,2026-02-02,22,DELIVERY,560.00,200.00,360.00,40.00,20.00,420.00,2,
Coffee Island Beyond GK II,2026-02-02,22,DINE IN,310.00,40.00,270.00,13.50,14.18,297.68,1,
Coffee Island Beyond GK II,2026-02-02,23,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island Beyond GK II,2026-02-02,23,TAKEAWAY,550.00,0.00,550.00,0.00,27.50,577.50,1,
Coffee Island HQ-27,2026-02-02,8,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island HQ-27,2026-02-02,9,DELIVERY,1135.00,567.50,567.50,60.00,31.38,658.88,3,
Coffee Island HQ-27,2026-02-02,9,TAKEAWAY,280.00,0.00,280.00,0.00,14.00,294.00,1,
Coffee Island HQ-27,2026-02-02,10,DELIVERY,3942.00,1489.66,2452.34,80.00,126.62,2658.96,4,
Coffee Island HQ-27,2026-02-02,10,TAKEAWAY,210.00,142.00,68.00,0.00,3.40,71.40,1,
Coffee Island HQ-27,2026-02-02,11,DINE IN,1950.00,223.00,1727.00,0.00,86.36,1813.36,4,
Coffee Island HQ-27,2026-02-02,11,DELIVERY,1630.00,720.00,910.00,80.00,49.49,1039.49,4,
Coffee Island HQ-27,2026-02-02,11,TAKEAWAY,230.00,10.00,220.00,0.00,11.00,231.00,1,
Coffee Island HQ-27,2026-02-02,12,DELIVERY,804.00,377.50,426.50,40.00,23.33,489.83,2,
Coffee Island HQ-27,2026-02-02,12,DINE IN,4935.00,1040.50,3894.50,0.00,194.74,4089.24,4,
Coffee Island HQ-27,2026-02-02,12,TAKEAWAY,1650.00,59.00,1591.00,0.00,79.55,1670.55,3,
Coffee Island HQ-27,2026-02-02,13,DINE IN,290.00,0.00,290.00,0.00,14.50,304.50,2,
Coffee Island HQ-27,2026-02-02,13,DELIVERY,880.00,352.00,528.00,40.00,28.40,596.40,2,
Coffee Island HQ-27,2026-02-02,14,DELIVERY,1240.00,510.00,730.00,60.00,39.50,829.50,3,
Coffee Island HQ-27,2026-02-02,14,DINE IN,420.00,0.00,420.00,0.00,21.00,441.00,1,
Coffee Island HQ-27,2026-02-02,14,TAKEAWAY,1300.00,256.00,1044.00,0.00,52.20,1096.20,3,
Coffee Island HQ-27,2026-02-02,15,DINE IN,1060.00,0.00,1060.00,0.00,53.00,1113.00,2,
Coffee Island HQ-27,2026-02-02,15,DELIVERY,729.00,267.00,462.00,40.00,25.10,527.10,2,
Coffee Island HQ-27,2026-02-02,16,DINE IN,2160.00,310.00,1850.00,0.00,92.50,1942.50,5,
Coffee Island HQ-27,2026-02-02,16,DELIVERY,1250.00,625.00,625.00,60.00,34.25,719.25,3,
Coffee Island HQ-27,2026-02-02,16,TAKEAWAY,680.00,0.00,680.00,0.00,34.00,714.00,2,
Coffee Island HQ-27,2026-02-02,17,TAKEAWAY,310.00,0.00,310.00,0.00,15.50,325.50,1,
Coffee Island HQ-27,2026-02-02,17,DINE IN,2280.00,0.00,2280.00,0.00,114.00,2394.00,2,
Coffee Island HQ-27,2026-02-02,17,DELIVERY,2469.00,1165.00,1304.00,80.00,69.20,1453.20,4,
Coffee Island HQ-27,2026-02-02,18,DINE IN,2490.00,262.50,2227.50,0.00,111.38,2338.88,4,
Coffee Island HQ-27,2026-02-02,18,DELIVERY,480.00,50.00,430.00,40.00,23.50,493.50,2,
Coffee Island HQ-27,2026-02-02,19,DINE IN,740.00,74.00,666.00,0.00,33.30,699.30,1,
Coffee Island HQ-27,2026-02-02,19,DELIVERY,250.00,125.00,125.00,20.00,7.25,152.25,1,
Coffee Island HQ-27,2026-02-02,20,DELIVERY,310.00,155.00,155.00,20.00,8.75,183.75,1,
Coffee Island HQ-27,2026-02-02,20,TAKEAWAY,300.00,0.00,300.00,0.00,15.00,315.00,1,
Coffee Island HQ-27,2026-02-02,20,DINE IN,1860.00,41.00,1819.00,0.00,90.95,1909.95,3,
Coffee Island HQ-27,2026-02-02,21,DELIVERY,1000.00,312.49,687.51,40.00,36.37,763.88,2,
Coffee Island HQ-27,2026-02-02,22,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,1,
Coffee Island HQ-27,2026-02-02,22,DELIVERY,560.00,280.00,280.00,20.00,15.00,315.00,1,
Coffee Island HQ-27,2026-02-02,23,DELIVERY,2030.00,1015.00,1015.00,80.00,54.75,1149.75,4,
Coffee Island HQ-27,2026-02-02,23,TAKEAWAY,210.00,0.00,210.00,0.00,10.50,220.50,1,
Coffee Island HQ-27,2026-02-02,23,DINE IN,0.00,0.00,0.00,0.00,0.00,0.00,3,
Coffee Island AIPL,2026-02-02,9,DINE IN,398.00,0.00,398.00,0.00,19.90,417.90,1,
