All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-06-12,"POS",139.00,49,0,20750.50,1092.93,0,0,0,0,0,0,0,0.00,19657.57,909.85,221.95,27.21,0,1159.01,20816.58,1.42,20818.00,
"-","-","North","Coffee Island HQ-27",2025-06-12,"Mobile App",7.00,4,0,1104.00,606.00,0,15.00,0,0,0,0,0,15.00,498.00,27.60,0,0,0,27.60,540.60,0.40,541.00,
"-","-","North","Coffee Island HQ-27",2025-06-12,"Zomato",35.00,7,0,5620.00,1655.00,0,0,0,0,140.00,0,0,140.00,3965.00,0,0,0,205.26,205.26,4310.26,0.74,4311.00,
"-","-","North","Coffee Island HQ-27",2025-06-12,"Swiggy",6.00,2,0,920.00,205.99,0,0,0,0,0,0,0,0.00,714.01,0,0,0,35.70,35.70,749.71,0.29,750.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"Zomato",21.00,6,0,4159.29,940.00,0,0,0,0,120.00,0,0,120.00,3219.29,0,0,0,166.96,166.96,3506.25,-0.25,3506.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"POS",163.00,50,0,22822.91,642.96,0,0,0,0,0,0,0,0.00,22179.95,1070.90,137.07,0,0,1207.97,23387.92,0.08,23388.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"Swiggy",21.00,6,0,2550.00,995.00,0,0,0,0,0,0,0,0.00,1555.00,0,0,0,77.75,77.75,1632.75,0.25,1633.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"Swiggy-Bolt Urgent",7.00,3,0,810.00,357.00,0,0,0,0,0,0,0,0.00,453.00,0,0,0,22.65,22.65,475.65,-0.65,475.00,
"-","-","North","Coffee Island HQ-27",2025-06-13,"Mobile App",12.00,3,0,1290.00,296.50,0,15.00,0,5.00,0,0,0,20.00,993.50,53.27,0,0,0,53.27,1066.77,0.23,1067.00,
"-","-","North","Coffee Island HQ-27",2025-06-14,"Zomato",19.00,7,0,2936.00,908.60,0,0,0,0,140.00,0,0,140.00,2027.40,0,24.46,0,101.58,126.04,2293.44,0.56,2294.00,
"-","-","North","Coffee Island HQ-27",2025-06-14,"Swiggy",17.00,6,0,2699.50,827.99,0,0,0,0,0,0,0,0.00,1871.51,0,49.38,0,79.86,129.24,2000.75,-0.75,2000.00,
"-","-","North","Coffee Island HQ-27",2025-06-14,"POS",135.00,45,0,17555.61,454.62,0,0,0,0,0,0,0,0.00,17100.99,837.10,64.67,0,0,901.77,18002.76,1.24,18004.00,
"-","-","North","Coffee Island HQ-27",2025-06-14,"Mobile App",12.00,4,0,2030.00,566.50,0,20.00,0,0,0,0,0,20.00,1463.50,76.78,0,0,0,76.78,1560.28,0.72,1561.00,
"-","-","North","Coffee Island HQ-27",2025-06-15,"POS",130.00,29,0,17623.57,264.91,0,0,0,0,0,0,0,0.00,17358.66,824.05,137.74,13.39,0,975.19,18333.85,0.15,18334.00,
"-","-","North","Coffee Island HQ-27",2025-06-15,"Zomato",34.00,10,0,5195.00,2051.00,0,0,0,0,200.00,0,0,200.00,3144.00,0,0,0,167.20,167.20,3511.20,1.80,3513.00,
"-","-","North","Coffee Island HQ-27",2025-06-15,"Swiggy",13.00,3,0,1385.00,376.00,0,0,0,0,0,0,0,0.00,1009.00,0,0,0,50.46,50.46,1059.46,-0.46,1059.00,
"-","-","North","Coffee Island HQ-27",2025-06-15,"Swiggy-Bolt Urgent",3.00,1,0,290.00,65.00,0,0,0,0,0,0,0,0.00,225.00,0,0,0,11.25,11.25,236.25,-0.25,236.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"Zomato",17.00,6,0,2170.00,360.00,0,0,0,0,120.00,0,0,120.00,1810.00,0,0,0,96.52,96.51,2026.51,0.49,2027.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"Swiggy",19.00,7,0,2740.00,1066.00,0,0,0,0,0,0,0,0.00,1674.00,0,0,0,83.70,83.70,1757.70,-0.70,1757.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"Mobile App",6.00,3,0,1047.00,340.00,0,15.00,0,0,0,0,0,15.00,707.00,38.05,0,0,0,38.05,760.05,-0.05,760.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"POS",133.00,45,0,19187.98,308.47,0,0,0,0,0,0,0,0.00,18879.51,885.76,131.12,52.23,0,1069.11,19948.62,2.38,19951.00,
"-","-","North","Coffee Island HQ-27",2025-06-16,"Swiggy-Bolt Urgent",6.00,2,0,850.00,140.00,0,0,0,0,0,0,0,0.00,710.00,0,0,0,35.51,35.51,745.51,-0.51,745.00,
"-","-","North","Coffee Island HQ-27",2025-06-17,"Zomato",13.00,4,0,1800.00,155.00,0,0,0,0,80.00,0,0,80.00,1645.00,0,0,0,86.25,86.25,1811.25,0.75,1812.00,
"-","-","North","Coffee Island HQ-27",2025-06-17,"Swiggy",21.00,6,0,2780.00,1202.00,0,0,0,0,0,0,0,0.00,1578.00,0,0,0,78.90,78.90,1656.90,0.10,1657.00,
"-","-","North","Coffee Island HQ-27",2025-06-17,"POS",241.00,52,0,37310.45,10007.46,0,0,0,0,0,0,0,0.00,27302.99,1300.01,135.38,65.94,0,1501.33,28804.32,0.68,28805.00,
"-","-","North","Coffee Island HQ-27",2025-06-17,"Mobile App",8.00,4,0,945.00,253.00,0,20.00,0,0,0,0,0,20.00,692.00,38.20,0,0,0,38.20,750.20,-0.20,750.00,
"-","-","North","Coffee Island HQ-27",2025-06-18,"Swiggy",21.00,6,0,2950.00,535.98,0,0,0,0,0,0,0,0.00,2414.02,0,0,0,120.69,120.70,2534.72,-0.72,2534.00,
"-","-","North","Coffee Island HQ-27",2025-06-18,"POS",119.00,42,0,17047.72,1454.67,0,0,0,0,0,0,0,0.00,15593.05,761.56,36.93,18.75,0,817.24,16410.29,-0.29,16410.00,
"-","-","North","Coffee Island HQ-27",2025-06-18,"Mobile App",3.00,2,0,457.00,423.00,0,5.00,0,0,0,0,0,5.00,34.00,2.60,0,0,0,2.60,41.60,0.40,42.00,
"-","-","North","Coffee Island HQ-27",2025-06-18,"Zomato",21.00,7,0,3808.05,1407.50,0,0,0,0,140.00,0,0,140.00,2400.55,0,81.55,0,104.38,185.93,2726.48,0.52,2727.00,
"-","-","North","Coffee Island HQ-27",2025-06-19,"Swiggy",29.00,9,0,4352.50,1338.99,0,0,0,0,0,0,0,0.00,3013.51,0,0,0,150.68,150.68,3164.19,-0.19,3164.00,
"-","-","North","Coffee Island HQ-27",2025-06-19,"Zomato",9.00,5,0,1566.68,223.81,0,0,0,0,100.00,0,0,100.00,1342.87,0,0,0,72.15,72.15,1515.02,0.98,1516.00,
"-","-","North","Coffee Island HQ-27",2025-06-19,"Mobile App",2.00,1,0,200.00,171.00,0,5.00,0,0,0,0,0,5.00,29.00,2.35,0,0,0,2.35,36.35,-0.35,36.00,
"-","-","North","Coffee Island HQ-27",2025-06-19,"POS",170.00,51,0,25071.18,1233.00,0,0,0,0,0,0,0,0.00,23838.18,1156.73,86.19,26.78,0,1269.70,25107.88,2.12,25110.00,
"-","-","North","Coffee Island HQ-27",2025-06-20,"Zomato",51.00,16,0,6924.27,2254.30,0,0,0,0,320.00,0,0,320.00,4669.98,0,0,0,240.58,240.58,5230.56,2.44,5233.00,
