All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Restaurant Charge,Staff Welfare charge at 5%,Staff Welfare,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-12-27,"Zomato",16.00,8,0,4920.00,2130.00,160.00,0,0,0,0,0,0,0,160.00,2790.00,147.50,0,0,0,147.50,3097.50,1.50,3099.00,
"-","-","North","Coffee Island HQ-27",2025-12-27,"POS",62.00,28,0,14188.62,2331.00,0,0,0,0,0,0,0,0,0.00,11857.62,0,592.90,0,0,592.90,12450.52,3.48,12454.00,
"-","-","North","Coffee Island HQ-27",2025-12-27,"Swiggy-Bolt Urgent",2.00,2,0,560.00,280.00,0,40.00,0,0,0,0,0,0,40.00,280.00,16.00,0,0,0,16.00,336.00,0.00,336.00,
"-","-","North","Coffee Island HQ-27",2025-12-27,"Mobile App",2.00,1,0,352.00,352.00,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,0.00,
"-","-","North","Coffee Island HQ-27",2025-12-28,"Swiggy",26.00,16,0,8126.90,3007.14,0,320.00,0,0,0,0,0,0,320.00,5119.75,271.99,0,0,0,271.99,5711.74,1.26,5713.00,
"-","-","North","Coffee Island HQ-27",2025-12-28,"POS",90.00,41,0,21684.31,5586.42,0,0,0,0,0,0,0,0,0.00,16097.89,0,804.91,0,0,804.91,16902.80,3.20,16906.00,
"-","-","North","Coffee Island HQ-27",2025-12-28,"Zomato",20.00,11,0,5868.47,2402.00,220.00,0,0,0,0,0,0,0,220.00,3466.47,184.33,0,0,0,184.33,3870.80,0.20,3871.00,
"-","-","North","Coffee Island HQ-27",2025-12-28,"Swiggy-Bolt Urgent",3.00,2,0,790.00,395.00,0,40.00,0,0,0,0,0,0,40.00,395.00,21.75,0,0,0,21.75,456.75,0.25,457.00,
"-","-","North","Coffee Island HQ-27",2025-12-29,"POS",71.00,34,0,15221.10,1533.25,0,0,0,0,0,0,0,0,0.00,13687.85,0,684.44,0,0,684.44,14372.29,3.71,14376.00,
"-","-","North","Coffee Island HQ-27",2025-12-29,"Zomato",24.00,15,0,7355.00,3552.50,300.00,0,0,0,0,0,0,0,300.00,3802.50,205.13,0,0,0,205.13,4307.63,1.37,4309.00,
"-","-","North","Coffee Island HQ-27",2025-12-29,"Swiggy",22.00,11,0,6630.00,3036.98,0,220.00,0,0,0,0,0,0,220.00,3593.02,190.66,0,0,0,190.66,4003.68,0.32,4004.00,
"-","-","North","Coffee Island HQ-27",2025-12-29,"Mobile App",3.00,3,0,690.00,315.00,0,0,15.00,0,0,0,0,0,15.00,375.00,0,21.45,0,0,21.45,411.45,-0.45,411.00,
"-","-","North","Coffee Island HQ-27",2025-12-29,"Swiggy-Bolt Urgent",9.00,5,0,2765.00,1194.99,0,100.00,0,0,0,0,0,0,100.00,1570.01,83.50,0,0,0,83.50,1753.51,1.49,1755.00,
"-","-","North","Coffee Island HQ-27",2025-12-30,"Mobile App",8.00,5,0,2402.00,76.00,0,0,45.00,0,0,30.00,5.00,0,80.00,2326.00,0,130.70,0,0,130.70,2536.70,0.30,2537.00,
"-","-","North","Coffee Island HQ-27",2025-12-30,"MagicPin-Ordering",1.00,1,0,250.00,42.00,0,0,0,0,0,0,0,0,0.00,208.00,10.40,0,0,0,10.40,218.40,-0.40,218.00,
"-","-","North","Coffee Island HQ-27",2025-12-30,"Zomato",22.00,10,0,6480.00,2975.00,200.00,0,0,0,0,0,0,0,200.00,3505.00,185.25,0,0,0,185.25,3890.25,1.75,3892.00,
"-","-","North","Coffee Island HQ-27",2025-12-30,"Swiggy",19.00,12,0,5510.00,2613.00,0,240.00,0,0,0,0,0,0,240.00,2897.00,156.85,0,0,0,156.85,3293.85,1.15,3295.00,
"-","-","North","Coffee Island HQ-27",2025-12-30,"POS",91.00,41,0,19944.84,1196.84,0,0,0,0,0,0,0,0,0.00,18748.00,0,937.47,0,0,937.47,19685.47,2.53,19688.00,
