Super Category ,Category Name,Item Name ,Has Expiry,Tax Rate,Purchase UOM,Base UOM,Conversion Factor
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - BROOMS/PANS/BINS/WIPERS/TROLLEY/BUCKETS/BRUSHES/DISPENSER,Wringer & Bucket Yellow 20 Ltr generic,no,18,PCS,PCS,1
PACKAGING FOR PRODUCT DEVELOPMENT,PAPER/CARDBOARD PACKAGING,Yellow Box Medium (Corporate Gift Box),no,18,PCS,PCS,1
PACKAGING FOR PRODUCT DEVELOPMENT,PAPER/CARDBOARD PACKAGING,Yellow Box Small (Corporate Gift Box),no,18,PCS,PCS,1
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Large - Ci,no,18,PKT(25PC),PCS,25
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Medium - Ci,no,18,PKT(25PC),PCS,25
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Small - Ci,no,18,PKT(25PC),PCS,25
UNIFORM,UNIFORM - SHIRT/T SHIRT,Yellow European Cap - Ci,no,5,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Yogurt Muesli,no,18,PKT(250GM),GM,2000
CAPEX,POS HARDWARE,Zebra Barcode Printer - Zd 230 Ta,no,18,PCS,PCS,1
STORE CONSUMABLES,STATIONARY,plastic dustbin,no,18,Piece,Piece,
RETAIL,BOTTLED WATER,water Jerry Can 20 Ltr,no,,PCS,PCS,1
,RM BEVERAGES - POWDERS,Refresh Tea - Peach,yes,18,PKT(100GM),GM,100
,RM BEVERAGES - POWDERS,Refresh Tea - Peach,yes,18,PKT(500GM),GM,500
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Almond Tea Cake,,,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Betty Pizza Maker,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Biscoff Cheesecake Jar,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Boston Cream Cruffin,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - NON VEG INGREDIENTS,Burnt Basque Cheesecake,,,PCS,PCS,1
KITCHEN ACCESSORIES,COOKING ACCESSORIES,CO 2 Cylinder Refilling,,,PCS,PCS,1
CAPEX,BOH OTHER EQUIPMENT,CO2 Cylinder Cartridge,,,PCS,PCS,1
CAPEX,OUTLET EQUIPMENT,Ceiling Mounted ABC Type 5 Kg Fire Extinguisher Kanex,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - NON VEG INGREDIENTS,Chicken Sausage (Frozen),,,PKT(250GM),GM,250
RAW MATERIAL,RM FOOD - NON VEG INGREDIENTS,Chicken Sausage (Frozen),,,PKT(500GM),GM,500
RAW MATERIAL,RM FOOD - NON VEG INGREDIENTS,Chicken Tikka Multigrain Sandwich,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Chipotle Style Dip,,,KG,GM,1000
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Chipotle Vegetable Puff  (Closed Puff),,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Choco Banana Tea Cake,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Chocolate Donut,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - NON VEG INGREDIENTS,Chocolate Eclair,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Chocolate Hazelnut Babka,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Chocolate Mousse Jar,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Chocolate Truffle Pastry,,,PCS,PCS,1
