Outlet Name,Category Name,Item Code,Item Name,Unit,Qty,Primary Shelf Life(In Months),Manufacture Date,Purchase Date,Opening date (when packet is opened),After Opening Shelf Life(days),Expiry Date
,RM BEVERAGES - BEANS,RAW0000003,Beans - Kenya Blend,,,12 Months,,,,01 Days,
,RM BEVERAGES - BEANS,RAW0000006,Beans - Kenya Single Estate,,,12 Months,,,,01 Days,
,RM BEVERAGES - BEANS,RAW0000001,Beans - Master Blend,,,12 Months,,,,01 Days,
,RM BEVERAGES - BEANS,RAW0000002,Beans - Volcano Blend,,,12 Months,,,,01 Days,
,RM FOOD - CONDIMENTS,RAW0000065,Chilli Flakes - Sachet,,,,,,,,
,RM FOOD - CONDIMENTS,RAW0000063,Ketchup,,,,,,,,
,RM FOOD - CONDIMENTS,RAW0000064,Oregano,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000078,Chipotle Chicken,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000077,Chipotle Chicken Mozzarella Pide Base,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000163,Fried Chicken Flaky Burger,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000075,Herb Chicken Open Puff Base,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000072,Herb Roasted Chicken Toastie,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000152,Korean Chicken Bun,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000080,Roasted Chicken Mac & Cheese,,,,,,,,
,RM FOOD - NON VEG INGREDIENTS,RAW0000076,Roasted Turkey Tomato & Cheese Croissant,,,,,,,,
,RTE - SNACKS,RET0000043,Chocolate Almond - 40 Gms,,,,,,,,
,RTE - SNACKS,RET0000044,Chocolate Cashew - 40 Gms,,,,,,,,
,RTE - SNACKS,RET0000046,Coffee Almond Shots - 40 Gms,,,,,,,,
,RTE - SNACKS,RET0000045,Hazelnut Chocolate Shots - 40 Gms,,,,,,,,
,RTE - SNACKS,RET0000047,Masala Almond - 40 Gms,,,06 Months,,,,,
,RTE - SNACKS,RET0000048,Masala Cashew - 40 Gms,,,06 Months,,,,,
,RTE - SNACKS,RET0000042,The Ultimate Sweet Crunchy Nut Mix - 70 Gms,,,06 Months,,,,,
