Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-08","2025-10-08","T1-9","2","POS","DINE IN","Quick Bites","Puff & Toastie","-","Korean Bun","2025-10-08","10:54:41 AM","2025-10-08","11:44:18 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","320","320","EDD","Item Delete","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-10","2025-10-10","T1-322","57","POS","DINE IN","Quick Bites","Puff & Toastie","-","Korean Garlic Mushroom Puff","2025-10-10","06:51:20 PM","2025-10-10","08:16:33 PM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","190","190","Customer change mind after order","Item Delete","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-15","2025-10-14","T1-703","59","Mobile App","ONLINE","Cold Beverages","Island Special-Cold","46","Orange Bumble Coffee","2025-10-14","11:28:37 PM","2025-10-15","12:07:04 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","310","310","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-15","2025-10-14","T1-703","59","Mobile App","ONLINE","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-14","11:28:37 PM","2025-10-15","12:07:04 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","0","0","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-15","2025-10-14","T1-703","59","Mobile App","ONLINE","Cold Beverages","Island Special-Cold","365","Java Chip Killer-Medium","2025-10-14","11:28:37 PM","2025-10-15","12:07:04 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","330","330","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-15","2025-10-14","T1-703","59","Mobile App","ONLINE","Hot Beverages","Hot Brews","97","Hot Latte Signature-reg","2025-10-14","11:28:37 PM","2025-10-15","12:07:04 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","240","240","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-15","2025-10-14","T1-703","59","Mobile App","ONLINE","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-14","11:28:37 PM","2025-10-15","12:07:04 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","0","0","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-18","2025-10-18","T1-968","2","Zomato","DELIVERY","Quick Bites","Puff & Toastie","425","Korean Chicken Bun","2025-10-18","06:35:28 AM","2025-10-18","07:03:35 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","400","400","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-18","2025-10-18","T1-969","3","Zomato","DELIVERY","Hot Beverages","Hot Brews","106","Cappuccino-reg","2025-10-18","07:03:29 AM","2025-10-18","07:16:37 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","250","250","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-18","2025-10-18","T1-969","3","Zomato","DELIVERY","ADDON","Choice of Milk","151","Oat Milk @50","2025-10-18","07:03:29 AM","2025-10-18","07:16:37 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","50","50","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-18","2025-10-18","T1-969","3","Zomato","DELIVERY","ADDON","Choice of Beans","138","Master Blend @0","2025-10-18","07:03:29 AM","2025-10-18","07:16:37 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","0","0","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-18","2025-10-18","T1-969","3","Zomato","DELIVERY","Cold Beverages","Island Special-Cold","50","Iced Vietneamese Shakerato","2025-10-18","07:03:29 AM","2025-10-18","07:16:37 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","340","340","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-18","2025-10-18","T1-969","3","Zomato","DELIVERY","Cold Beverages","Choice of Extra Shot - 50","239","Extra Shot - Master Blend","2025-10-18","07:03:29 AM","2025-10-18","07:16:37 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","50","50","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-18","2025-10-18","T1-969","3","Zomato","DELIVERY","ADDON","Choice of Beans","138","Master Blend @0","2025-10-18","07:03:29 AM","2025-10-18","07:16:37 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","0","0","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-19","2025-10-19","T1-1106","50","POS","DINE IN","Cold Beverages","Island Special-Cold","-","Java Chip Killer-Medium","2025-10-19","07:38:56 PM","2025-10-19","07:52:06 PM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","330","330","change","Item Delete","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-20","2025-10-20","T1-1152","23","Zomato","DELIVERY","Merch","Unisex T-shirt","397","Unisex T-Shirt (Red) XXL","2025-10-20","02:47:44 PM","2025-10-20","03:16:09 PM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","380","380","-","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-22","2025-10-22","T1-1291","9","Mobile App","TAKEAWAY","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)","470","Breakfast Specials 2.0","2025-10-22","10:51:25 AM","2025-10-22","11:02:52 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","149","149","ERROR IN THIS ORDER","Bill Void","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-25","2025-10-24","T1-1433","65","POS","TAKEAWAY","Cold Beverages","Cold Brews","-","Iced Americano-Med","2025-10-25","12:41:36 AM","2025-10-25","12:47:22 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","250","250","customer mind change","Item Delete","-",
"Coffee Island Eros Churchgate - Mumbai","10006","2025-10-25","2025-10-24","T1-1433","65","POS","TAKEAWAY","ADDON","Choice of Beans","-","Master Blend - (Default)","2025-10-25","12:41:36 AM","2025-10-25","12:47:22 AM","vitaxnova_ciec_hariom","vitaxnova_ciec_hariom","1","0","0","-","Item Delete","-",
"Coffee Island GK II","10002","2025-10-05","2025-10-04","T1-10709","74","Swiggy","DELIVERY","Cold Beverages","Island Special-Cold","50","Iced Vietneamese Shakerato","2025-10-05","02:04:16 AM","2025-10-05","07:19:47 AM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","340","340","-","Bill Void","-",
"Coffee Island GK II","10002","2025-10-05","2025-10-04","T1-10709","74","Swiggy","DELIVERY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-05","02:04:16 AM","2025-10-05","07:19:47 AM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","0","0","-","Bill Void","-",
"Coffee Island GK II","10002","2025-10-07","2025-10-07","T1-10836","29","POS","DINE IN","Snacks","Trail Mix","-","The Ultimate  Sweet Crunchy Nut Mix","2025-10-07","06:40:30 PM","2025-10-07","07:29:47 PM","vitaxnova_cigk2_ruth","vitaxnova_cigk2_ruth","1","138.39","138.39","GUEST GAVE 1 BACK","Item Delete","-",
"Coffee Island GK II","10002","2025-10-09","2025-10-08","T1-10913","59","POS","TAKEAWAY","Desserts","Desserts","430","Double Chocochip Paris-Brest","2025-10-09","12:31:25 AM","2025-10-09","12:38:55 AM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_ruth","1","420","420","GUEST DIDNT LIKED IT","Bill Void","Other",
"Coffee Island GK II","10002","2025-10-19","2025-10-19","T1-11521","31","POS","DELIVERY","Ready To Drink","Cold Coffee","-","Vietnamese Cold Coffee","2025-10-19","05:54:13 PM","2025-10-19","05:56:16 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","161.9","161.9","wrong punching","Item Delete","-",
"Coffee Island GK II","10002","2025-10-20","2025-10-20","T1-11594","39","POS","TAKEAWAY","Hot Beverages","Island Special-Hot","136","Spanish Bombon (Small)","2025-10-20","07:37:24 PM","2025-10-20","08:11:05 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","310","310","wrong punching","Bill Void","Other",
"Coffee Island GK II","10002","2025-10-20","2025-10-20","T1-11594","39","POS","TAKEAWAY","ADDON","Choice of Beans","235","Volcano Blend (Default)","2025-10-20","07:37:24 PM","2025-10-20","08:11:05 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","0","0","wrong punching","Bill Void","Other",
"Coffee Island GK II","10002","2025-10-20","2025-10-20","T1-11594","39","POS","TAKEAWAY","Cold Beverages","Cold Brews","6","Bobastic Coffeeccino-Med","2025-10-20","07:37:24 PM","2025-10-20","08:11:05 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","290","290","wrong punching","Bill Void","Other",
"Coffee Island GK II","10002","2025-10-20","2025-10-20","T1-11594","39","POS","TAKEAWAY","ADDON","Choice of Crema","237","Salted Caramel Crema - 0  (Default)","2025-10-20","07:37:24 PM","2025-10-20","08:11:05 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","0","0","wrong punching","Bill Void","Other",
"Coffee Island GK II","10002","2025-10-20","2025-10-20","T1-11594","39","POS","TAKEAWAY","ADDON","Choice of Milk","332","Regular - Milk -90g Default","2025-10-20","07:37:24 PM","2025-10-20","08:11:05 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","0","0","wrong punching","Bill Void","Other",
