Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island GK II","10002","2025-12-13","2025-12-13","T1-15431","90","POS","DINE IN","Cold Beverages","Island Special-Cold","-","Java Chip Killer","2025-12-13","09:42:42 PM","2025-12-13","09:48:55 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","330","330","CHANGED ITEM","Item Delete","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15459","4","POS","DINE IN","Hot Beverages","Hot Brews","106","Cappuccino","2025-12-14","09:08:46 AM","2025-12-14","10:36:21 AM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","test","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15482","32","POS","DINE IN","Hot Beverages","Hot Brews","-","Cappuccino","2025-12-14","03:54:31 PM","2025-12-14","04:38:53 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","1","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15482","33","POS","DINE IN","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)","-","French Butter Croissant with Cappuccino","2025-12-14","03:54:31 PM","2025-12-14","04:38:20 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","149","149","1","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15484","38","POS","DINE IN","Hot Beverages","Hot Brews","-","Cappuccino","2025-12-14","04:34:26 PM","2025-12-14","04:52:17 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","ORED CHANGE","Item Delete","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15485","36","POS","DINE IN","Hot Beverages","Hot Brews","94","Flat White","2025-12-14","04:34:49 PM","2025-12-14","05:25:21 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","265","265","WRONG PUNCHING","Bill Void","Other",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15485","36","POS","DINE IN","Hot Beverages","Hot Brews","99","Americano","2025-12-14","04:34:49 PM","2025-12-14","05:25:21 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","245","245","WRONG PUNCHING","Bill Void","Other",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15485","36","POS","DINE IN","Desserts","Chocolate","376","Hazelnut Hour Chocolate","2025-12-14","04:34:49 PM","2025-12-14","05:25:21 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","190","190","WRONG PUNCHING","Bill Void","Other",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15490","44","POS","DINE IN","Food","Sides","-","Korean Spicy Fries","2025-12-14","05:34:10 PM","2025-12-14","07:37:22 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","220","220","out","Item Delete","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15490","44","POS","DINE IN","Cold Beverages","Milk Shake","-","Double Chocolate Indulgent Milkshake","2025-12-14","05:34:10 PM","2025-12-14","07:37:31 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","270","270","1","Item Delete","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15490","44","POS","DINE IN","Hot Beverages","Hot Brews","-","Hot Latte Signature","2025-12-14","05:34:10 PM","2025-12-14","07:37:41 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","240","240","1","Item Delete","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15490","44","POS","DINE IN","Cold Beverages","Island Special-Cold","50","Iced Vietneamese Shakerato","2025-12-14","05:34:10 PM","2025-12-14","07:51:54 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","310","310","wrong punchedf","Bill Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15490","44","POS","DINE IN","Cold Beverages","Cold Brews","11","Islander Cold Coffee","2025-12-14","05:34:10 PM","2025-12-14","07:51:54 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","290","290","wrong punchedf","Bill Void","-",
