  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Restaurant Packaging Charges,Platform Fee Charge,Delivery Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @12%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-08-04,"TAKEAWAY",35.00,9,5048.10,197.00,0,10.00,0,0,0,0,10.00,4851.10,229.36,0,54.00,0,283.36,5144.46,1.54,5146.00,7.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-04,"DELIVERY",48.00,19,8175.00,2644.75,80.00,0,0,0,0,0,80.00,5530.25,0,0,0,282.13,280.52,5890.77,2.23,5893.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-05,"DINE IN",114.00,43,17835.73,271.00,0,0,0,0,0,0,0.00,17564.73,849.05,70.07,0,0,919.14,18483.87,11.13,18495.00,42.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-05,"DELIVERY",54.00,19,7680.00,2313.99,90.00,0,0,0,0,0,90.00,5366.01,0,0,0,272.79,272.78,5728.79,2.21,5731.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-05,"TAKEAWAY",22.00,10,3300.00,0.00,0,5.00,0,0,0,0,5.00,3300.00,165.90,0,0,0,165.91,3470.91,2.09,3473.00,9.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-06,"DELIVERY",43.00,16,7966.25,2801.36,70.00,0,0,0,0,0,70.00,5164.89,0,0,27.65,254.06,281.71,5516.60,1.40,5518.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-06,"DINE IN",143.00,40,22723.21,576.33,0,0,0,0,0,0,0.00,22146.88,1006.05,83.83,238.94,0,1328.84,23475.72,6.28,23482.00,46.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-06,"TAKEAWAY",35.00,8,5170.00,23.00,0,10.00,0,0,0,0,10.00,5147.00,259.15,0,0,0,259.16,5416.16,0.84,5417.00,11.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-07,"DINE IN",187.00,50,25194.12,2913.00,0,0,0,0,0,0,0.00,22281.12,1103.45,11.72,20.59,0,1135.80,23416.92,10.08,23427.00,65.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-07,"DELIVERY",31.00,13,5432.76,1628.96,100.00,0,0,0,0,0,100.00,3803.80,0,0,185.33,143.72,329.05,4232.85,1.15,4234.00,0.00,
