  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island HQ-27",2025-06-30,"TAKEAWAY",33.00,13,4938.96,485.45,0,15.00,0,0,0,0,0,15.00,4453.51,162.00,228.08,0,0,390.08,4858.59,-0.59,4858.00,11.00,
"-","-","North","Coffee Island HQ-27",2025-06-30,"DINE IN",109.00,36,18048.48,823.95,0,0,0,0,0,0,0,0.00,17224.53,843.66,18.15,30.00,0,891.81,18116.34,1.66,18118.00,44.00,
"-","-","North","Coffee Island AIPL",2025-06-03,"TAKEAWAY",35.00,6,4596.00,0.00,0,60.00,0,0,0,0,0,60.00,4596.00,190.00,109.08,48.72,0,347.80,5003.80,1.20,5005.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-03,"ONLINE",31.00,6,4973.00,0.00,0,150.00,120.00,30.00,0,0,5.00,305.00,4973.00,266.35,85.14,30.36,0,381.85,5659.85,1.15,5661.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-04,"ONLINE",8.00,5,1352.00,0.00,0,125.00,150.00,25.00,0,0,0,300.00,1352.00,110.40,0,26.88,0,137.28,1789.28,0.72,1790.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-06,"TAKEAWAY",9.00,7,1799.00,0.00,0,70.00,0,0,0,0,0,70.00,1799.00,102.55,0,0,0,102.55,1971.55,2.45,1974.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-09,"ONLINE",2.00,1,257.00,0.00,0,25.00,30.00,5.00,0,0,0,60.00,257.00,23.65,0,0,0,23.65,340.65,0.35,341.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-09,"TAKEAWAY",27.00,3,3123.00,80.00,0,30.00,0,0,0,0,0,30.00,3043.00,110.64,86.82,54.72,0,252.18,3325.18,-0.18,3325.00,0.00,
"-","-","North","Coffee Island AIPL",2025-06-18,"DINE IN",71.00,14,10888.12,878.10,0,0,0,0,0,0,0,0.00,10010.02,500.48,0,0,0,500.48,10510.50,0.50,10511.00,15.00,
"-","-","North","Coffee Island AIPL",2025-06-18,"TAKEAWAY",28.00,9,3688.01,499.00,0,5.00,0,0,0,0,0,5.00,3189.01,160.34,0,0,0,160.34,3354.35,0.65,3355.00,8.00,
